family,number_of_members,members_found,0,0,0,0,0,0,0,0,0
PTHR24345,2,PLK1,PLK1,,,,,,,,
PTHR23257,3,MAP3K12,MAP3K12,MAP3K7,,,,,,,
PTHR28629,2,TKFC,TKFC,,,,,,,,
PTHR24351,1,RPS6KA3,,,,,,,,,
PTHR24353,2,PRKACB,PRKACB,,,,,,,,
PTHR24056,3,CDK9,CDK1,CDK1,,,,,,,
PTHR17583,1,PIK3R4,,,,,,,,,
PTHR13335,1,MAPKAP1,,,,,,,,,
PTHR23050,10,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3
PTHR10155,1,PIK3R1,,,,,,,,,
PTHR24055,5,SRPK1,MAPK1,MAPK10,MAPK14,MAPK7,,,,,
PTHR12400,1,IP6K1,,,,,,,,,
PTHR11139,2,PRKDC,MTOR,,,,,,,,
PTHR24357,2,PRKCE,PKN1,,,,,,,,
PTHR24419,1,IRAK1,,,,,,,,,
PTHR11584,1,MAP3K5,,,,,,,,,
PTHR24360,3,MAP2K4,MAP2K2,MAP2K7,,,,,,,
PTHR24349,2,MAPKAPK3,MKNK1,,,,,,,,
PTHR10048,2,PIK3CA,PIK3C3,,,,,,,,
PTHR24057,2,GSK3B,GSK3B,,,,,,,,
PTHR10910,1,PRKRA,,,,,,,,,
PTHR24361,3,MAP2K6,MAP2K6,MAP2K6,,,,,,,
PTHR24352,3,PDPK1,PRKCD,PRKCD,,,,,,,
PTHR12630,1,PRKCSH,,,,,,,,,
PTHR24418,1,CSK,,,,,,,,,
PTHR11635,2,PRKAR1A,PRKAR1A,,,,,,,,
