query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
TTRE_0000018301-mRNA-1 transcript=TTRE_0000018301-mRNA-1 gene=TTRE_0000018301,gnl|BL_ORD_ID|162291 ENSG00000065320|NTN1|ENST00000173229|PTHR10574_SF219,NTN1,ENST00000173229,ENSG00000065320,605,637.106,315,52.0661157,0,PTHR10574,SF219
TTRE_0000037001-mRNA-1 transcript=TTRE_0000037001-mRNA-1 gene=TTRE_0000037001,gnl|BL_ORD_ID|133326 ENSG00000134900|TPP2|ENST00000651544|PTHR10795_SF324,TPP2,ENST00000651544,ENSG00000134900,1180,619.002,359,30.42372881,0,PTHR10795,SF324
TTRE_0000054001-mRNA-1 transcript=TTRE_0000054001-mRNA-1 gene=TTRE_0000054001,gnl|BL_ORD_ID|77829 ENSG00000075624|ACTB|ENST00000646664|PTHR11937_SF187,ACTB,ENST00000646664,ENSG00000075624,376,749.584,356,94.68085106,0,PTHR11937,SF187
TTRE_0000057601-mRNA-1 transcript=TTRE_0000057601-mRNA-1 gene=TTRE_0000057601,gnl|BL_ORD_ID|191919 ENSG00000127616|SMARCA4|ENST00000643995|PTHR10799_SF76,SMARCA4,ENST00000643995,ENSG00000127616,1456,1401.73,748,51.37362637,0,PTHR10799,SF76
TTRE_0000065501-mRNA-1 transcript=TTRE_0000065501-mRNA-1 gene=TTRE_0000065501,gnl|BL_ORD_ID|213880 ENSG00000177189|RPS6KA3|ENST00000646610|PTHR24351_SF58,RPS6KA3,ENST00000646610,ENSG00000177189,713,982.63,466,65.35764376,0,PTHR24351,SF58
TTRE_0000076301-mRNA-1 transcript=TTRE_0000076301-mRNA-1 gene=TTRE_0000076301,gnl|BL_ORD_ID|118219 ENSG00000166598|HSP90B1|ENST00000299767|PTHR11528,HSP90B1,ENST00000299767,ENSG00000166598,804,905.205,459,57.08955224,0,PTHR11528,
TTRE_0000077101-mRNA-1 transcript=TTRE_0000077101-mRNA-1 gene=TTRE_0000077101,gnl|BL_ORD_ID|70082 ENSG00000172354|GNB2|ENST00000393924|PTHR19850,GNB2,ENST00000393924,ENSG00000172354,341,630.943,295,86.51026393,0,PTHR19850,
TTRE_0000080501-mRNA-1 transcript=TTRE_0000080501-mRNA-1 gene=TTRE_0000080501,gnl|BL_ORD_ID|858 ENSG00000142875|PRKACB|ENST00000370689|PTHR24353_SF45,PRKACB,ENST00000370689,ENSG00000142875,352,563.533,258,73.29545455,0,PTHR24353,SF45
TTRE_0000084501-mRNA-1 transcript=TTRE_0000084501-mRNA-1 gene=TTRE_0000084501,gnl|BL_ORD_ID|90236 ENSG00000136807|CDK9|ENST00000373264|PTHR24056_SF158,CDK9,ENST00000373264,ENSG00000136807,373,520.005,250,67.02412869,0,PTHR24056,SF158
TTRE_0000098601-mRNA-1 transcript=TTRE_0000098601-mRNA-1 gene=TTRE_0000098601,gnl|BL_ORD_ID|63402 ENSG00000196591|HDAC2|ENST00000519065|PTHR10625_SF60,HDAC2,ENST00000519065,ENSG00000196591,489,527.324,256,52.35173824,0,PTHR10625,SF60
TTRE_0000101801-mRNA-1 transcript=TTRE_0000101801-mRNA-1 gene=TTRE_0000101801,gnl|BL_ORD_ID|93075 ENSG00000148400|NOTCH1|ENST00000651671|PTHR24033_SF37,NOTCH1,ENST00000651671,ENSG00000148400,2556,1459.51,856,33.48982786,0,PTHR24033,SF37
