ensembl,gene,transcript,ensemblfamily
ENSG00000000938,FGR,ENST00000374004,PTHR24418_SF224
ENSG00000000938,FGR,ENST00000399173,PTHR24418_SF224
ENSG00000000938,FGR,ENST00000374003,PTHR24418_SF224
ENSG00000000938,FGR,ENST00000457296,PTHR24418_SF224
ENSG00000000938,FGR,ENST00000468038,
ENSG00000000938,FGR,ENST00000374005,PTHR24418_SF224
ENSG00000000938,FGR,ENST00000475472,
ENSG00000000971,CFH,ENST00000496761,
ENSG00000000971,CFH,ENST00000367429,PTHR19325_SF310
ENSG00000000971,CFH,ENST00000359637,PTHR19325_SF310
ENSG00000000971,CFH,ENST00000470918,
ENSG00000000971,CFH,ENST00000466229,
ENSG00000000971,CFH,ENST00000630130,PTHR19325_SF310
ENSG00000001626,CFTR,ENST00000472848,
ENSG00000001626,CFTR,ENST00000608965,
ENSG00000001626,CFTR,ENST00000621535,
ENSG00000001626,CFTR,ENST00000649850,
ENSG00000001626,CFTR,ENST00000649781,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000647720,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000649406,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000610149,
ENSG00000001626,CFTR,ENST00000648260,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000003084,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000429014,
ENSG00000001626,CFTR,ENST00000426809,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000546407,
ENSG00000001626,CFTR,ENST00000647978,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000468795,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000600166,PTHR24223_SF19
ENSG00000001626,CFTR,ENST00000446805,
ENSG00000001626,CFTR,ENST00000647639,
ENSG00000002330,BAD,ENST00000544271,
ENSG00000002330,BAD,ENST00000493798,
ENSG00000002330,BAD,ENST00000394532,TF102001
ENSG00000002330,BAD,ENST00000309032,TF102001
ENSG00000002330,BAD,ENST00000492141,
ENSG00000002330,BAD,ENST00000544785,
ENSG00000002330,BAD,ENST00000394531,
ENSG00000003400,CASP10,ENST00000286186,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000471191,
ENSG00000003400,CASP10,ENST00000492363,
ENSG00000003400,CASP10,ENST00000272879,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000438843,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000460140,
ENSG00000003400,CASP10,ENST00000374650,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000485408,
ENSG00000003400,CASP10,ENST00000448480,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000346817,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000484926,
ENSG00000003400,CASP10,ENST00000313728,PTHR10454_SF23
ENSG00000003400,CASP10,ENST00000360132,PTHR10454_SF23
ENSG00000003402,CFLAR,ENST00000457277,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000443227,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000423241,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000460961,
ENSG00000003402,CFLAR,ENST00000470664,
ENSG00000003402,CFLAR,ENST00000461422,
ENSG00000003402,CFLAR,ENST00000479953,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000440180,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000494258,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000474842,
ENSG00000003402,CFLAR,ENST00000439154,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000309955,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000341222,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000341582,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000342795,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000340870,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000490965,
ENSG00000003402,CFLAR,ENST00000433445,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000425030,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000441224,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000417748,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000470178,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000461820,
ENSG00000003402,CFLAR,ENST00000395148,PTHR10454_SF8
ENSG00000003402,CFLAR,ENST00000462763,PTHR10454_SF8
ENSG00000004487,KDM1A,ENST00000481879,
ENSG00000004487,KDM1A,ENST00000400181,PTHR10742_SF245
ENSG00000004487,KDM1A,ENST00000356634,PTHR10742_SF245
ENSG00000004487,KDM1A,ENST00000602503,
ENSG00000004487,KDM1A,ENST00000465864,PTHR10742_SF245
