query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
28,gnl|BL_ORD_ID|203034 ENSG00000100146|SOX10|ENST00000427770|PTHR10270_SF106,SOX10,ENST00000427770,ENSG00000100146,213,63.1586,27,12.67605634,1.58E-11,PTHR10270,SF106
53,gnl|BL_ORD_ID|108907 ENSG00000137693|YAP1|ENST00000531439|PTHR17616,YAP1,ENST00000531439,ENSG00000137693,489,143.28,118,24.13087935,3.70E-37,PTHR17616,
57,gnl|BL_ORD_ID|93755 ENSG00000107282|APBA1|ENST00000470082|PTHR12345_SF14,APBA1,ENST00000470082,ENSG00000107282,122,135.191,64,52.45901639,2.61E-39,PTHR12345,SF14
81,gnl|BL_ORD_ID|12081 ENSG00000143322|ABL2|ENST00000507173|PTHR24418_SF87,ABL2,ENST00000507173,ENSG00000143322,1059,601.668,276,26.06232295,0,PTHR24418,SF87
82,gnl|BL_ORD_ID|117392 ENSG00000168496|FEN1|ENST00000535723|PTHR11081_SF9,FEN1,ENST00000535723,ENSG00000168496,165,177.948,90,54.54545455,2.16E-52,PTHR11081,SF9
91,gnl|BL_ORD_ID|89670 ENSG00000135047|CTSL|ENST00000342020|PTHR12411_SF306,CTSL,ENST00000342020,ENSG00000135047,226,50.447,25,11.0619469,2.40E-07,PTHR12411,SF306
138,gnl|BL_ORD_ID|166449 ENSG00000132383|RPA1|ENST00000571058|PTHR23273_SF0,RPA1,ENST00000571058,ENSG00000132383,124,57.7658,36,29.03225806,1.07E-09,PTHR23273,SF0
155,gnl|BL_ORD_ID|15395 ENSG00000138081|FBXO11|ENST00000405808,FBXO11,ENST00000405808,ENSG00000138081,58,62.3882,22,37.93103448,3.83E-12,no family,
168,gnl|BL_ORD_ID|16197 ENSG00000198925|ATG9A|ENST00000409422|PTHR13038,ATG9A,ENST00000409422,ENSG00000198925,779,275.404,158,20.28241335,8.24E-85,PTHR13038,
173,gnl|BL_ORD_ID|162266 ENSG00000183751|TBL3|ENST00000615855|PTHR19854_SF15,TBL3,ENST00000615855,ENSG00000183751,519,151.369,106,20.4238921,6.66E-38,PTHR19854,SF15
198,gnl|BL_ORD_ID|95996 ENSG00000198722|UNC13B|ENST00000634487|PTHR10480_SF8,UNC13B,ENST00000634487,ENSG00000198722,466,179.104,94,20.17167382,3.74E-51,PTHR10480,SF8
204,gnl|BL_ORD_ID|89367 ENSG00000160445|ZER1|ENST00000291900|PTHR12904,ZER1,ENST00000291900,ENSG00000160445,767,150.599,116,15.12385919,8.65E-38,PTHR12904,
226,gnl|BL_ORD_ID|24713 ENSG00000075914|EXOSC7|ENST00000265564|PTHR11097,EXOSC7,ENST00000265564,ENSG00000075914,292,72.4034,38,13.01369863,1.44E-15,PTHR11097,
1012seq,gnl|BL_ORD_ID|67535 ENSG00000122335|SERAC1|ENST00000646208|PTHR22731_SF4,SERAC1,ENST00000646208,ENSG00000122335,567,198.364,153,26.98412698,9.79E-56,PTHR22731,SF4
