family,number_of_members,members_found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTHR10574,1,NTN1,,,,,,,,,,,,,,,,
PTHR10795,1,TPP2,,,,,,,,,,,,,,,,
PTHR11937,5,ACTB,ACTR3,ACTR2,ACTG1,ACTR2,,,,,,,,,,,,
PTHR10799,1,SMARCA4,,,,,,,,,,,,,,,,
PTHR24351,1,RPS6KA3,,,,,,,,,,,,,,,,
PTHR11528,3,HSP90B1,HSP90AA1,HSP90AB1,,,,,,,,,,,,,,
PTHR19850,1,GNB2,,,,,,,,,,,,,,,,
PTHR24353,2,PRKACB,PRKACB,,,,,,,,,,,,,,,
PTHR24056,3,CDK9,CDK1,CDK1,,,,,,,,,,,,,,
PTHR10625,5,HDAC2,HDAC2,HDAC2,HDAC11,HDAC2,,,,,,,,,,,,
PTHR24033,1,NOTCH1,,,,,,,,,,,,,,,,
PTHR13715,1,ITPR3,,,,,,,,,,,,,,,,
PTHR11566,1,DNM1L,,,,,,,,,,,,,,,,
PTHR18934,2,DHX9,DHX33,,,,,,,,,,,,,,,
PTHR13703,2,SMAD3,SMAD4,,,,,,,,,,,,,,,
PTHR12093,1,NCKAP1,,,,,,,,,,,,,,,,
PTHR19376,2,POLR3A,POLR3A,,,,,,,,,,,,,,,
PTHR24031,6,DDX1,DDX3X,DDX3X,DDX3X,DDX3X,DDX3X,,,,,,,,,,,
PTHR22891,12,AGO3,AGO2,AGO3,AGO3,AGO1,AGO3,AGO3,AGO3,AGO3,AGO1,AGO3,AGO2,,,,,
PTHR11668,14,PPP1CC,PPP3CA,PPP4C,PPP1CC,PPP1CC,PPP1CA,PPP1CC,PPP1CC,PPP1CC,PPP1CA,PPP1CA,PPP1CC,PPP1CC,PPP1CC,,,
PTHR24055,5,MAPK1,MAPK10,MAPK14,SRPK1,MAPK7,,,,,,,,,,,,
PTHR11584,1,MAP3K5,,,,,,,,,,,,,,,,
PTHR10082,1,ITGB1,,,,,,,,,,,,,,,,
PTHR23315,1,CTNNB1,,,,,,,,,,,,,,,,
PTHR10292,1,CLTC,,,,,,,,,,,,,,,,
PTHR22625,1,PLXNA4,,,,,,,,,,,,,,,,
PTHR24418,3,SRC,FYN,CSK,,,,,,,,,,,,,,
PTHR10048,2,PIK3CA,PIK3C3,,,,,,,,,,,,,,,
PTHR11752,2,ASCC3,ASCC3,,,,,,,,,,,,,,,
PTHR10997,1,IPO7,,,,,,,,,,,,,,,,
PTHR24057,2,GSK3B,GSK3B,,,,,,,,,,,,,,,
PTHR10666,3,UBC,UBA52,RPS27A,,,,,,,,,,,,,,
PTHR10257,1,PPP2R5D,,,,,,,,,,,,,,,,
PTHR23113,1,SOS1,,,,,,,,,,,,,,,,
PTHR11679,1,VPS45,,,,,,,,,,,,,,,,
PTHR24006,6,USP7,USP4,USP7,USP7,USP7,USP2,,,,,,,,,,,
PTHR23115,6,EFTUD2,TUFM,TUFM,TUFM,TUFM,TUFM,,,,,,,,,,,
PTHR13808,1,CREBBP,,,,,,,,,,,,,,,,
PTHR24357,2,PKN1,PRKCE,,,,,,,,,,,,,,,
PTHR11139,2,MTOR,PRKDC,,,,,,,,,,,,,,,
PTHR23317,1,DOCK1,,,,,,,,,,,,,,,,
PTHR23007,2,CBL,CBL,,,,,,,,,,,,,,,
PTHR20856,2,POLR3B,POLR3B,,,,,,,,,,,,,,,
PTHR12195,1,CYFIP2,,,,,,,,,,,,,,,,
PTHR10336,2,PLCG1,PLCG1,,,,,,,,,,,,,,,
PTHR10529,3,VLDLR,VLDLR,VLDLR,,,,,,,,,,,,,,
PTHR24103,1,TRIM9,,,,,,,,,,,,,,,,
PTHR11006,2,PRMT1,PRMT1,,,,,,,,,,,,,,,
PTHR10796,1,PTCH1,,,,,,,,,,,,,,,,
PTHR23257,3,MAP3K12,MAP3K7,MAP3K12,,,,,,,,,,,,,,
PTHR24360,3,MAP2K2,MAP2K4,MAP2K7,,,,,,,,,,,,,,
PTHR22826,1,VAV2,,,,,,,,,,,,,,,,
PTHR22936,1,RHBDF2,,,,,,,,,,,,,,,,
PTHR24352,3,PDPK1,PRKCD,PRKCD,,,,,,,,,,,,,,
PTHR12431,1,SNX27,,,,,,,,,,,,,,,,
PTHR11559,2,ACHE,ACHE,,,,,,,,,,,,,,,
PTHR10830,1,DDOST,,,,,,,,,,,,,,,,
PTHR10465,1,MFN2,,,,,,,,,,,,,,,,
PTHR10315,1,SIAH1,,,,,,,,,,,,,,,,
PTHR24349,2,MAPKAPK3,MKNK1,,,,,,,,,,,,,,,
PTHR18914,1,CTNNAL1,,,,,,,,,,,,,,,,
PTHR21737,2,CACTIN,PQBP1,,,,,,,,,,,,,,,
PTHR10194,1,DAB2IP,,,,,,,,,,,,,,,,
PTHR12058,1,ARPC2,,,,,,,,,,,,,,,,
PTHR10139,1,MRE11,,,,,,,,,,,,,,,,
PTHR11347,3,PDE1C,PDE1A,PDE1B,,,,,,,,,,,,,,
PTHR19868,1,RACK1,,,,,,,,,,,,,,,,
PTHR19134,7,PTPN11,PTPN2,PTPN2,PTPN2,PTPN2,PTPN2,PTPN2,,,,,,,,,,
PTHR13683,2,CTSD,CTSD,,,,,,,,,,,,,,,
PTHR18860,1,YWHAB,,,,,,,,,,,,,,,,
PTHR12788,1,TPST1,,,,,,,,,,,,,,,,
PTHR11635,2,PRKAR1A,PRKAR1A,,,,,,,,,,,,,,,
PTHR10709,1,ARPC1A,,,,,,,,,,,,,,,,
PTHR12098,2,PELI2,PELI3,,,,,,,,,,,,,,,
PTHR11972,3,DUOX1,DUOX2,DUOX1,,,,,,,,,,,,,,
PTHR19842,1,MLST8,,,,,,,,,,,,,,,,
PTHR24072,4,CDC42,RAC1,RAC1,CDC42,,,,,,,,,,,,,
PTHR12000,1,LGMN,,,,,,,,,,,,,,,,
PTHR13038,3,ATG9A,ATG9A,ATG9A,,,,,,,,,,,,,,
PTHR24345,2,PLK1,PLK1,,,,,,,,,,,,,,,
PTHR10098,1,GPSM1,,,,,,,,,,,,,,,,
PTHR13729,2,ELP2,ELP2,,,,,,,,,,,,,,,
PTHR14950,3,DICER1,DICER1,DICER1,,,,,,,,,,,,,,
PTHR23220,1,ITGAV,,,,,,,,,,,,,,,,
PTHR23155,1,PHLPP2,,,,,,,,,,,,,,,,
PTHR12771,1,ELMO1,,,,,,,,,,,,,,,,
PTHR11711,1,ARF6,,,,,,,,,,,,,,,,
PTHR12411,11,CTSB,CTSL,CTSB,CTSB,CTSB,CTSB,CTSB,CTSB,CTSH,CTSB,CTSL,,,,,,
PTHR11353,2,HSPD1,HSPD1,,,,,,,,,,,,,,,
PTHR10535,1,POLR2E,,,,,,,,,,,,,,,,
PTHR24375,1,CTCF,,,,,,,,,,,,,,,,
PTHR11911,1,IMPDH2,,,,,,,,,,,,,,,,
PTHR24068,1,UBE2D2,,,,,,,,,,,,,,,,
PTHR11098,2,NAMPT,NAMPT,,,,,,,,,,,,,,,
PTHR16528,1,GOPC,,,,,,,,,,,,,,,,
PTHR24416,5,ERBB4,FGFR2,FGFR1,FGFR2,FGFR2,,,,,,,,,,,,
PTHR12419,2,OTUD5,OTUD5,,,,,,,,,,,,,,,
PTHR23050,10,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,CALM3,,,,,,,
PTHR12305,3,PTEN,PTEN,PTEN,,,,,,,,,,,,,,
PTHR22820,1,GRB2,,,,,,,,,,,,,,,,
PTHR24139,5,PLA2G6,PLA2G6,PLA2G6,NFKBIA,PLA2G6,,,,,,,,,,,,
PTHR12768,1,BECN1,,,,,,,,,,,,,,,,
PTHR11599,1,PSMA7,,,,,,,,,,,,,,,,
PTHR23056,1,PPP3R1,,,,,,,,,,,,,,,,
PTHR13140,1,MYO10,,,,,,,,,,,,,,,,
PTHR22629,2,ARPC4,ARPC4,,,,,,,,,,,,,,,
PTHR24082,5,NR1H3,RORA,RORA,PPARG,NR1H3,,,,,,,,,,,,
PTHR23180,2,ACAP1,AGFG1,,,,,,,,,,,,,,,
PTHR11920,3,ADCY9,ADCY8,ADCY3,,,,,,,,,,,,,,
PTHR24067,3,UBE2N,UBE2V1,UBE2W,,,,,,,,,,,,,,
PTHR24070,2,KRAS,NKIRAS2,,,,,,,,,,,,,,,
PTHR10063,1,TSC2,,,,,,,,,,,,,,,,
PTHR11085,2,SIRT1,SIRT2,,,,,,,,,,,,,,,
PTHR12603,1,CNOT4,,,,,,,,,,,,,,,,
PTHR19241,4,ABCG1,ABCG1,ABCG1,ABCG1,,,,,,,,,,,,,
PTHR12308,1,ANO6,,,,,,,,,,,,,,,,
PTHR10722,1,RPL19,,,,,,,,,,,,,,,,
PTHR22904,1,STUB1,,,,,,,,,,,,,,,,
PTHR12604,2,XRCC6,XRCC5,,,,,,,,,,,,,,,
PTHR19878,1,ATG16L1,,,,,,,,,,,,,,,,
PTHR11071,1,PPIA,,,,,,,,,,,,,,,,
PTHR19818,1,GLI1,,,,,,,,,,,,,,,,
PTHR11829,3,FOXA1,FOXO3,FOXA1,,,,,,,,,,,,,,
