id,species,taxonId,ensembl,entrez,name,fullname,synonym,signature,chromStart,chromEnd,chromStrand,chromName,band,goTerms,function,goFunctions,goLocalizations,cerebralLocalization,nrIntxsValidated,nrIntxsPredicted,transcripts,humanOrthologs,mouseOrthologs,bovineOrthologs,lastModified
285,Homo sapiens,9606,ENSG00000158270,81035,COLEC12,collectin sub-family member 12 ,,COLEC12|IDBG-285|ENSG00000158270|81035,319361,500722,-1,18,p11.32,"GO:0002221|pattern recognition receptor signaling pathway|biological_process#GO:0005044|scavenger receptor activity|molecular_function#GO:0005534|galactose binding|molecular_function#GO:0005581|collagen trimer|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006898|receptor-mediated endocytosis|biological_process#GO:0006910|phagocytosis, recognition|biological_process#GO:0006952|defense response|biological_process#GO:0006955|immune response|biological_process#GO:0008329|signaling pattern recognition receptor activity|molecular_function#GO:0009756|carbohydrate mediated signaling|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0030169|low-density lipoprotein particle binding|molecular_function#GO:0030666|endocytic vesicle membrane|cellular_component#GO:0045087|innate immune response|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0051260|protein homooligomerization|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component", metal ion binding,GO:0005044: scavenger receptor activity#GO:0005534: galactose binding#GO:0008329: signaling pattern recognition receptor activity#GO:0030169: low-density lipoprotein particle binding#GO:0046872: metal ion binding,"GO:0005044: scavenger receptor activity,GO:0005534: galactose binding,GO:0008329: signaling pattern recognition receptor activity,GO:0030169: low-density lipoprotein particle binding,GO:0046872: metal ion binding",Plasma membrane,2,0,228706,,Colec12|IDBG-128247|ENSMUSG00000036103|140792,COLEC12|IDBG-644123|ENSBTAG00000007705|504741,2/20/17
363,Homo sapiens,9606,ENSG00000176105,7525,YES1,v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1 ,c-yes|HsT441|P61-YES|Yes,YES1|IDBG-363|ENSG00000176105|7525,721588,812546,-1,18,p11.32,"GO:0004672|protein kinase activity|molecular_function#GO:0004713|protein tyrosine kinase activity|molecular_function#GO:0004715|non-membrane spanning protein tyrosine kinase activity|molecular_function#GO:0005154|epidermal growth factor receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005524|ATP binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0005815|microtubule organizing center|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006464|cellular protein modification process|biological_process#GO:0006468|protein phosphorylation|biological_process#GO:0007596|blood coagulation|biological_process#GO:0015758|glucose transport|biological_process#GO:0016772|transferase activity, transferring phosphorus-containing groups|molecular_function#GO:0018108|peptidyl-tyrosine phosphorylation|biological_process#GO:0019899|enzyme binding|molecular_function#GO:0031295|T cell costimulation|biological_process#GO:0038096|Fc-gamma receptor signaling pathway involved in phagocytosis|biological_process#GO:0043114|regulation of vascular permeability|biological_process#GO:0044325|ion channel binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0046777|protein autophosphorylation|biological_process#GO:0050900|leukocyte migration|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component", transferase activity,"GO:0004672: protein kinase activity#GO:0004713: protein tyrosine kinase activity#GO:0004715: non-membrane spanning protein tyrosine kinase activity#GO:0005154: epidermal growth factor receptor binding#GO:0005515: protein binding#GO:0005524: ATP binding#GO:0016772: transferase activity, transferring phosphorus-containing groups#GO:0019899: enzyme binding#GO:0044325: ion channel binding","GO:0004672: protein kinase activity,GO:0004713: protein tyrosine kinase activity,GO:0004715: non-membrane spanning protein tyrosine kinase activity,GO:0005154: epidermal growth factor receptor binding,GO:0005515: protein binding,GO:0005524: ATP binding,GO:0016772: transferase activity, transferring phosphorus-containing groups,GO:0019899: enzyme binding,GO:0044325: ion channel binding",Plasma membrane,70,6,367|726465|727406,,Yes1|IDBG-151540|ENSMUSG00000014932|22612,YES1|IDBG-644136|ENSBTAG00000001523|507632,2/20/17
788,Homo sapiens,9606,ENSG00000180530,8204,NRIP1,nuclear receptor interacting protein 1 ,RIP140,NRIP1|IDBG-788|ENSG00000180530|8204,14961235,15065000,-1,21,q21.1,"GO:0000118|histone deacetylase complex|cellular_component#GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0001543|ovarian follicle rupture|biological_process#GO:0003713|transcription coactivator activity|molecular_function#GO:0003714|transcription corepressor activity|molecular_function#GO:0005102|receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0006351|transcription, DNA-templated|biological_process#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0019915|lipid storage|biological_process#GO:0030054|cell junction|cellular_component#GO:0030331|estrogen receptor binding|molecular_function#GO:0030521|androgen receptor signaling pathway|biological_process#GO:0030728|ovulation|biological_process#GO:0035257|nuclear hormone receptor binding|molecular_function#GO:0035259|glucocorticoid receptor binding|molecular_function#GO:0042826|histone deacetylase binding|molecular_function#GO:0042974|retinoic acid receptor binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046965|retinoid X receptor binding|molecular_function#GO:0050681|androgen receptor binding|molecular_function", androgen receptor binding,GO:0003713: transcription coactivator activity#GO:0003714: transcription corepressor activity#GO:0005102: receptor binding#GO:0005515: protein binding#GO:0030331: estrogen receptor binding#GO:0035257: nuclear hormone receptor binding#GO:0035259: glucocorticoid receptor binding#GO:0042826: histone deacetylase binding#GO:0042974: retinoic acid receptor binding#GO:0046965: retinoid X receptor binding#GO:0050681: androgen receptor binding,"GO:0003713: transcription coactivator activity,GO:0003714: transcription corepressor activity,GO:0005102: receptor binding,GO:0005515: protein binding,GO:0030331: estrogen receptor binding,GO:0035257: nuclear hormone receptor binding,GO:0035259: glucocorticoid receptor binding,GO:0042826: histone deacetylase binding,GO:0042974: retinoic acid receptor binding,GO:0046965: retinoid X receptor binding,GO:0050681: androgen receptor binding",Nucleus,85,12,790|228817|228819|360690,,Nrip1|IDBG-171519|ENSMUSG00000048490|268903,NRIP1|IDBG-647263|ENSBTAG00000047293|524960,2/20/17
1050,Homo sapiens,9606,ENSG00000015475,"101,929,618,637",BID,BH3 interacting domain death agonist ,FP497,"BID|IDBG-1050|ENSG00000015475|101929618,637",17734138,17774770,-1,22,q11.21,GO:0001836|release of cytochrome c from mitochondria|biological_process#GO:0005123|death receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005739|mitochondrion|cellular_component#GO:0005741|mitochondrial outer membrane|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006626|protein targeting to mitochondrion|biological_process#GO:0006915|apoptotic process|biological_process#GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process|biological_process#GO:0007420|brain development|biological_process#GO:0008625|extrinsic apoptotic signaling pathway via death domain receptors|biological_process#GO:0008637|apoptotic mitochondrial changes|biological_process#GO:0016020|membrane|cellular_component#GO:0031625|ubiquitin protein ligase binding|molecular_function#GO:0032355|response to estradiol|biological_process#GO:0032459|regulation of protein oligomerization|biological_process#GO:0032461|positive regulation of protein oligomerization|biological_process#GO:0032464|positive regulation of protein homooligomerization|biological_process#GO:0032592|integral component of mitochondrial membrane|cellular_component#GO:0034349|glial cell apoptotic process|biological_process#GO:0042127|regulation of cell proliferation|biological_process#GO:0042770|signal transduction in response to DNA damage|biological_process#GO:0043065|positive regulation of apoptotic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0051260|protein homooligomerization|biological_process#GO:0051402|neuron apoptotic process|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0090150|establishment of protein localization to membrane|biological_process#GO:0090200|positive regulation of release of cytochrome c from mitochondria|biological_process#GO:0097191|extrinsic apoptotic signaling pathway|biological_process#GO:0097193|intrinsic apoptotic signaling pathway|biological_process#GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|biological_process#GO:1901030|positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway|biological_process#GO:1902108|regulation of mitochondrial membrane permeability involved in apoptotic process|biological_process#GO:2000045|regulation of G1/S transition of mitotic cell cycle|biological_process#GO:2001238|positive regulation of extrinsic apoptotic signaling pathway|biological_process#GO:2001244|positive regulation of intrinsic apoptotic signaling pathway|biological_process, ubiquitin protein ligase binding,GO:0005123: death receptor binding#GO:0005515: protein binding#GO:0031625: ubiquitin protein ligase binding,"GO:0005123: death receptor binding,GO:0005515: protein binding,GO:0031625: ubiquitin protein ligase binding",Plasma membrane,99,6,1052|1058|229813|229815|229817|596970|812719|812720|812721|812722|812724,,Bid|IDBG-184076|ENSMUSG00000004446|12122,"BID|IDBG-641320|ENSBTAG00000013988|510373,782484",2/20/17
1100,Homo sapiens,9606,ENSG00000142192,351,APP,amyloid beta (A4) precursor protein ,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2,APP|IDBG-1100|ENSG00000142192|351,25880550,26171128,-1,21,q21.3,"GO:0000085|mitotic G2 phase|biological_process#GO:0001967|suckling behavior|biological_process#GO:0002576|platelet degranulation|biological_process#GO:0003677|DNA binding|molecular_function#GO:0004867|serine-type endopeptidase inhibitor activity|molecular_function#GO:0005102|receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005641|nuclear envelope lumen|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005905|coated pit|cellular_component#GO:0005911|cell-cell junction|cellular_component#GO:0006378|mRNA polyadenylation|biological_process#GO:0006417|regulation of translation|biological_process#GO:0006468|protein phosphorylation|biological_process#GO:0006878|cellular copper ion homeostasis|biological_process#GO:0006897|endocytosis|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0007155|cell adhesion|biological_process#GO:0007176|regulation of epidermal growth factor-activated receptor activity|biological_process#GO:0007219|Notch signaling pathway|biological_process#GO:0007399|nervous system development|biological_process#GO:0007409|axonogenesis|biological_process#GO:0007596|blood coagulation|biological_process#GO:0007617|mating behavior|biological_process#GO:0007626|locomotory behavior|biological_process#GO:0008088|axon cargo transport|biological_process#GO:0008201|heparin binding|molecular_function#GO:0008203|cholesterol metabolic process|biological_process#GO:0008344|adult locomotory behavior|biological_process#GO:0008542|visual learning|biological_process#GO:0009986|cell surface|cellular_component#GO:0010468|regulation of gene expression|biological_process#GO:0010951|negative regulation of endopeptidase activity|biological_process#GO:0010952|positive regulation of peptidase activity|biological_process#GO:0010971|positive regulation of G2/M transition of mitotic cell cycle|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0016199|axon midline choice point recognition|biological_process#GO:0016322|neuron remodeling|biological_process#GO:0016358|dendrite development|biological_process#GO:0016504|peptidase activator activity|molecular_function#GO:0019899|enzyme binding|molecular_function#GO:0030134|ER to Golgi transport vesicle|cellular_component#GO:0030168|platelet activation|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0030424|axon|cellular_component#GO:0030900|forebrain development|biological_process#GO:0031093|platelet alpha granule lumen|cellular_component#GO:0031175|neuron projection development|biological_process#GO:0031410|cytoplasmic vesicle|cellular_component#GO:0031594|neuromuscular junction|cellular_component#GO:0033130|acetylcholine receptor binding|molecular_function#GO:0035235|ionotropic glutamate receptor signaling pathway|biological_process#GO:0035253|ciliary rootlet|cellular_component#GO:0035872|nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway|biological_process#GO:0040014|regulation of multicellular organism growth|biological_process#GO:0042802|identical protein binding|molecular_function#GO:0043005|neuron projection|cellular_component#GO:0043197|dendritic spine|cellular_component#GO:0043198|dendritic shaft|cellular_component#GO:0043231|intracellular membrane-bounded organelle|cellular_component#GO:0043235|receptor complex|cellular_component#GO:0043393|regulation of protein binding|biological_process#GO:0045087|innate immune response|biological_process#GO:0045121|membrane raft|cellular_component#GO:0045177|apical part of cell|cellular_component#GO:0045202|synapse|cellular_component#GO:0045665|negative regulation of neuron differentiation|biological_process#GO:0045931|positive regulation of mitotic cell cycle|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046914|transition metal ion binding|molecular_function#GO:0048471|perinuclear region of cytoplasm|cellular_component#GO:0048669|collateral sprouting in absence of injury|biological_process#GO:0050803|regulation of synapse structure and activity|biological_process#GO:0050885|neuromuscular process controlling balance|biological_process#GO:0051124|synaptic growth at neuromuscular junction|biological_process#GO:0051233|spindle midzone|cellular_component#GO:0051402|neuron apoptotic process|biological_process#GO:0051425|PTB domain binding|molecular_function#GO:0051563|smooth endoplasmic reticulum calcium ion homeostasis|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0070851|growth factor receptor binding|molecular_function", growth factor receptor binding,GO:0003677: DNA binding#GO:0004867: serine-type endopeptidase inhibitor activity#GO:0005102: receptor binding#GO:0005515: protein binding#GO:0008201: heparin binding#GO:0016504: peptidase activator activity#GO:0019899: enzyme binding#GO:0033130: acetylcholine receptor binding#GO:0042802: identical protein binding#GO:0046914: transition metal ion binding#GO:0051425: PTB domain binding#GO:0070851: growth factor receptor binding,"GO:0003677: DNA binding,GO:0004867: serine-type endopeptidase inhibitor activity,GO:0005102: receptor binding,GO:0005515: protein binding,GO:0008201: heparin binding,GO:0016504: peptidase activator activity,GO:0019899: enzyme binding,GO:0033130: acetylcholine receptor binding,GO:0042802: identical protein binding,GO:0046914: transition metal ion binding,GO:0051425: PTB domain binding,GO:0070851: growth factor receptor binding",Nucleus,2628,31,1102|1104|1106|1108|1110|1112|361147|361148|361152|361154,,App|IDBG-172954|ENSMUSG00000022892|11820,APP|IDBG-630293|ENSBTAG00000017753|280722,2/20/17
1165,Homo sapiens,9606,ENSG00000175354,"1,027,243,755,771",PTPN2,"protein tyrosine phosphatase, non-receptor type 2 ",PTN2|PTPT|TC-PTP|TCELLPTP|TCPTP,"PTPN2|IDBG-1165|ENSG00000175354|102724375,5771",12785478,12929643,-1,18,p11.21,GO:0004725|protein tyrosine phosphatase activity|molecular_function#GO:0005178|integrin binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005654|nucleoplasm|cellular_component#GO:0005783|endoplasmic reticulum|cellular_component#GO:0005793|endoplasmic reticulum-Golgi intermediate compartment|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006470|protein dephosphorylation|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0008286|insulin receptor signaling pathway|biological_process#GO:0010804|negative regulation of tumor necrosis factor-mediated signaling pathway|biological_process#GO:0010888|negative regulation of lipid storage|biological_process#GO:0016311|dephosphorylation|biological_process#GO:0016791|phosphatase activity|molecular_function#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0019901|protein kinase binding|molecular_function#GO:0019905|syntaxin binding|molecular_function#GO:0030183|B cell differentiation|biological_process#GO:0030217|T cell differentiation|biological_process#GO:0030218|erythrocyte differentiation|biological_process#GO:0030971|receptor tyrosine kinase binding|molecular_function#GO:0035335|peptidyl-tyrosine dephosphorylation|biological_process#GO:0042059|negative regulation of epidermal growth factor receptor signaling pathway|biological_process#GO:0042512|negative regulation of tyrosine phosphorylation of Stat1 protein|biological_process#GO:0042518|negative regulation of tyrosine phosphorylation of Stat3 protein|biological_process#GO:0042524|negative regulation of tyrosine phosphorylation of Stat5 protein|biological_process#GO:0042527|negative regulation of tyrosine phosphorylation of Stat6 protein|biological_process#GO:0042593|glucose homeostasis|biological_process#GO:0045087|innate immune response|biological_process#GO:0045650|negative regulation of macrophage differentiation|biological_process#GO:0045722|positive regulation of gluconeogenesis|biological_process#GO:0046627|negative regulation of insulin receptor signaling pathway|biological_process#GO:0050728|negative regulation of inflammatory response|biological_process#GO:0050860|negative regulation of T cell receptor signaling pathway|biological_process#GO:0050922|negative regulation of chemotaxis|biological_process#GO:0060333|interferon-gamma-mediated signaling pathway|biological_process#GO:0060334|regulation of interferon-gamma-mediated signaling pathway|biological_process#GO:0060336|negative regulation of interferon-gamma-mediated signaling pathway|biological_process#GO:0060339|negative regulation of type I interferon-mediated signaling pathway|biological_process#GO:0070104|negative regulation of interleukin-6-mediated signaling pathway|biological_process#GO:0070373|negative regulation of ERK1 and ERK2 cascade|biological_process#GO:1902202|regulation of hepatocyte growth factor receptor signaling pathway|biological_process#GO:1902206|negative regulation of interleukin-2-mediated signaling pathway|biological_process#GO:1902212|negative regulation of prolactin signaling pathway|biological_process#GO:1902215|negative regulation of interleukin-4-mediated signaling pathway|biological_process#GO:1902227|negative regulation of macrophage colony-stimulating factor signaling pathway|biological_process#GO:1902233|negative regulation of positive thymic T cell selection|biological_process#GO:2000587|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|biological_process, receptor tyrosine kinase binding,GO:0004725: protein tyrosine phosphatase activity#GO:0005178: integrin binding#GO:0005515: protein binding#GO:0016791: phosphatase activity#GO:0019901: protein kinase binding#GO:0019905: syntaxin binding#GO:0030971: receptor tyrosine kinase binding,"GO:0004725: protein tyrosine phosphatase activity,GO:0005178: integrin binding,GO:0005515: protein binding,GO:0016791: phosphatase activity,GO:0019901: protein kinase binding,GO:0019905: syntaxin binding,GO:0030971: receptor tyrosine kinase binding",Nucleus,25,1,1167|1169|1173|726734|726451|725700|727605|728031|725778|726024|725883|727305,,Ptpn2|IDBG-155927|ENSMUSG00000024539|19255,PTPN2|IDBG-644489|ENSBTAG00000010563|540888,2/20/17
1469,Homo sapiens,9606,ENSG00000141448,2627,GATA6,GATA binding protein 6 ,,GATA6|IDBG-1469|ENSG00000141448|2627,22169443,22202528,1,18,q11.2,"GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0000979|RNA polymerase II core promoter sequence-specific DNA binding|molecular_function#GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity|molecular_function#GO:0001103|RNA polymerase II repressing transcription factor binding|molecular_function#GO:0001701|in utero embryonic development|biological_process#GO:0001889|liver development|biological_process#GO:0003148|outflow tract septum morphogenesis|biological_process#GO:0003309|type B pancreatic cell differentiation|biological_process#GO:0003310|pancreatic A cell differentiation|biological_process#GO:0003677|DNA binding|molecular_function#GO:0003682|chromatin binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0003705|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005654|nucleoplasm|cellular_component#GO:0005667|transcription factor complex|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0006644|phospholipid metabolic process|biological_process#GO:0007493|endodermal cell fate determination|biological_process#GO:0007596|blood coagulation|biological_process#GO:0008134|transcription factor binding|molecular_function#GO:0008270|zinc ion binding|molecular_function#GO:0008584|male gonad development|biological_process#GO:0010468|regulation of gene expression|biological_process#GO:0014898|cardiac muscle hypertrophy in response to stress|biological_process#GO:0019901|protein kinase binding|molecular_function#GO:0030855|epithelial cell differentiation|biological_process#GO:0031016|pancreas development|biological_process#GO:0032911|negative regulation of transforming growth factor beta1 production|biological_process#GO:0032912|negative regulation of transforming growth factor beta2 production|biological_process#GO:0035239|tube morphogenesis|biological_process#GO:0035987|endodermal cell differentiation|biological_process#GO:0042493|response to drug|biological_process#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0043627|response to estrogen|biological_process#GO:0044212|transcription regulatory region DNA binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0045766|positive regulation of angiogenesis|biological_process#GO:0045892|negative regulation of transcription, DNA-templated|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0048645|organ formation|biological_process#GO:0048738|cardiac muscle tissue development|biological_process#GO:0051145|smooth muscle cell differentiation|biological_process#GO:0051891|positive regulation of cardioblast differentiation|biological_process#GO:0055007|cardiac muscle cell differentiation|biological_process#GO:0060045|positive regulation of cardiac muscle cell proliferation|biological_process#GO:0060430|lung saccule development|biological_process#GO:0060486|Clara cell differentiation|biological_process#GO:0060510|Type II pneumocyte differentiation|biological_process#GO:0060575|intestinal epithelial cell differentiation|biological_process#GO:0060947|cardiac vascular smooth muscle cell differentiation|biological_process#GO:0070848|response to growth factor|biological_process#GO:0071158|positive regulation of cell cycle arrest|biological_process#GO:0071371|cellular response to gonadotropin stimulus|biological_process#GO:0071456|cellular response to hypoxia|biological_process#GO:0071773|cellular response to BMP stimulus|biological_process", transcription regulatory region DNA binding,GO:0000979: RNA polymerase II core promoter sequence-specific DNA binding#GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity#GO:0001103: RNA polymerase II repressing transcription factor binding#GO:0003677: DNA binding#GO:0003682: chromatin binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding#GO:0008134: transcription factor binding#GO:0008270: zinc ion binding#GO:0019901: protein kinase binding#GO:0043565: sequence-specific DNA binding#GO:0044212: transcription regulatory region DNA binding,"GO:0000979: RNA polymerase II core promoter sequence-specific DNA binding,GO:0000981: sequence-specific DNA binding RNA polymerase II transcription factor activity,GO:0001103: RNA polymerase II repressing transcription factor binding,GO:0003677: DNA binding,GO:0003682: chromatin binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding,GO:0008134: transcription factor binding,GO:0008270: zinc ion binding,GO:0019901: protein kinase binding,GO:0043565: sequence-specific DNA binding,GO:0044212: transcription regulatory region DNA binding",Nucleus,11,13,1471|727742,,Gata6|IDBG-128584|ENSMUSG00000005836|14465,GATA6|IDBG-644022|ENSBTAG00000005734|654400,2/20/17
1754,Homo sapiens,9606,ENSG00000134489,59340,HRH4,histamine receptor H4 ,,HRH4|IDBG-1754|ENSG00000134489|59340,24460629,24479957,1,18,q11.2,GO:0004930|G-protein coupled receptor activity|molecular_function#GO:0004969|histamine receptor activity|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006954|inflammatory response|biological_process#GO:0007186|G-protein coupled receptor signaling pathway|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0008150|biological_process|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0043408|regulation of MAPK cascade|biological_process#GO:0045087|innate immune response|biological_process, histamine receptor activity,GO:0004930: G-protein coupled receptor activity#GO:0004969: histamine receptor activity,"GO:0004930: G-protein coupled receptor activity,GO:0004969: histamine receptor activity",Plasma membrane,0,1,1756|365889,,Hrh4|IDBG-129289|ENSMUSG00000037346|225192,HRH4|IDBG-643833|ENSBTAG00000020467|783354,2/20/17
1833,Homo sapiens,9606,ENSG00000099942,1399,CRKL,v-crk sarcoma virus CT10 oncogene homolog (avian)-like ,,CRKL|IDBG-1833|ENSG00000099942|1399,20917426,20953749,1,22,q11.21,GO:0000186|activation of MAPKK activity|biological_process#GO:0001568|blood vessel development|biological_process#GO:0004871|signal transducer activity|molecular_function#GO:0005070|SH3/SH2 adaptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005768|endosome|cellular_component#GO:0005829|cytosol|cellular_component#GO:0007254|JNK cascade|biological_process#GO:0007265|Ras protein signal transduction|biological_process#GO:0007389|pattern specification process|biological_process#GO:0007507|heart development|biological_process#GO:0009887|organ morphogenesis|biological_process#GO:0009952|anterior/posterior pattern specification|biological_process#GO:0009967|positive regulation of signal transduction|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0044822|poly(A) RNA binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0048538|thymus development|biological_process#GO:0060017|parathyroid gland development|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component, poly(A) RNA binding,GO:0004871: signal transducer activity#GO:0005070: SH3/SH2 adaptor activity#GO:0005515: protein binding#GO:0044822: poly(A) RNA binding,"GO:0004871: signal transducer activity,GO:0005070: SH3/SH2 adaptor activity,GO:0005515: protein binding,GO:0044822: poly(A) RNA binding",Cytoplasm,110,17,1835|364123,,Crkl|IDBG-138913|ENSMUSG00000006134|12929,CRKL|IDBG-637664|ENSBTAG00000045548|,2/20/17
1973,Homo sapiens,9606,ENSG00000159110,3455,IFNAR2,"interferon (alpha, beta and omega) receptor 2 ",IFN-alpha-REC|IFN-R|IFNABR|IFNARB,IFNAR2|IDBG-1973|ENSG00000159110|3455,33229901,33265675,1,21,q22.11,GO:0004905|type I interferon receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007259|JAK-STAT cascade|biological_process#GO:0008283|cell proliferation|biological_process#GO:0009615|response to virus|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0019901|protein kinase binding|molecular_function#GO:0019962|type I interferon binding|molecular_function#GO:0035455|response to interferon-alpha|biological_process#GO:0045087|innate immune response|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process, type I interferon binding,GO:0004905: type I interferon receptor activity#GO:0005515: protein binding#GO:0019901: protein kinase binding#GO:0019962: type I interferon binding,"GO:0004905: type I interferon receptor activity,GO:0005515: protein binding,GO:0019901: protein kinase binding,GO:0019962: type I interferon binding",Extracellular,33,5,1975|1983|1985|1987|292621|362701|362703|362705|362709,,Ifnar2|IDBG-175856|ENSMUSG00000022971|15976,IFNAR2|IDBG-629859|ENSBTAG00000015212|282258,2/20/17
